Token: 3, Lexema: cierracuento, Línea: 39, Columna: 5
Token: 43, Lexema: varios, Línea: 42, Columna: 5
Token: 7, Lexema: abreregalo, Línea: 42, Columna: 12
Token: 54, Lexema: _numero_, Línea: 42, Columna: 23
Token: 8, Lexema: cierraregalo, Línea: 42, Columna: 32
Token: 2, Lexema: abrecuento, Línea: 43, Columna: 5
Token: 44, Lexema: historia, Línea: 44, Columna: 9
Token: 50, Lexema: 1, Línea: 44, Columna: 18
Token: 48, Lexema: sigue, Línea: 44, Columna: 20
Token: 10, Lexema: narra, Línea: 45, Columna: 13
Token: 7, Lexema: abreregalo, Línea: 45, Columna: 19
Token: 51, Lexema: "Uno", Línea: 45, Columna: 30
Token: 8, Lexema: cierraregalo, Línea: 45, Columna: 36
Token: 9, Lexema: finregalo, Línea: 45, Columna: 49
Token: 46, Lexema: corta, Línea: 46, Columna: 13
Token: 9, Lexema: finregalo, Línea: 46, Columna: 19
Token: 44, Lexema: historia, Línea: 47, Columna: 9
Token: 50, Lexema: 2, Línea: 47, Columna: 18
Token: 48, Lexema: sigue, Línea: 47, Columna: 20
Token: 10, Lexema: narra, Línea: 48, Columna: 13
Token: 7, Lexema: abreregalo, Línea: 48, Columna: 19
Token: 51, Lexema: "Dos", Línea: 48, Columna: 30
Token: 8, Lexema: cierraregalo, Línea: 48, Columna: 36
Token: 9, Lexema: finregalo, Línea: 48, Columna: 49
Token: 46, Lexema: corta, Línea: 49, Columna: 13
Token: 9, Lexema: finregalo, Línea: 49, Columna: 19
Token: 45, Lexema: ultimo, Línea: 50, Columna: 9
Token: 48, Lexema: sigue, Línea: 50, Columna: 16
Token: 10, Lexema: narra, Línea: 51, Columna: 13
Token: 7, Lexema: abreregalo, Línea: 51, Columna: 19
Token: 51, Lexema: "Otro número", Línea: 51, Columna: 30
Token: 8, Lexema: cierraregalo, Línea: 51, Columna: 44
Token: 9, Lexema: finregalo, Línea: 51, Columna: 57
Token: 3, Lexema: cierracuento, Línea: 52, Columna: 5
Token: 18, Lexema: trueno , Línea: 55, Columna: 5
Token: 54, Lexema: _resultado_, Línea: 55, Columna: 12
Token: 6, Lexema: entrega, Línea: 55, Columna: 24
Token: 54, Lexema: _activo_, Línea: 55, Columna: 32
Token: 36, Lexema: melchor, Línea: 55, Columna: 41
Token: 19, Lexema: true, Línea: 55, Columna: 49
Token: 9, Lexema: finregalo, Línea: 55, Columna: 54
Token: 11, Lexema: escucha, Línea: 58, Columna: 5
Token: 7, Lexema: abreregalo, Línea: 58, Columna: 13
Token: 54, Lexema: _numero_, Línea: 58, Columna: 24
Token: 8, Lexema: cierraregalo, Línea: 58, Columna: 33
Token: 9, Lexema: finregalo, Línea: 58, Columna: 46
Token: 3, Lexema: cierracuento, Línea: 60, Columna: 1
